"","(Intercept)","brlen.median","brlen.ratio","brlen.var","lambda","max.brlen","max.internal","max.tip","min.brlen","min.internal","min.tip","mu","Ntip","turnover","df","logLik","AICc","delta","weight"
"3593",4.51387795345328,NA,NA,NA,-14.7161736528782,NA,NA,NA,NA,NA,-1.12609513451319,18.0852896059525,0.0019682447540926,NA,6,-11354.7955832121,22721.5995723083,0,0.72266019874887
"3586",3.23997685273696,0.0314127382127723,NA,NA,NA,NA,NA,NA,NA,NA,-1.24524944811561,16.8020425700684,0.00205917448925093,NA,6,-11355.7532788621,22723.5149636084,1.91539130016099,0.27733980125113
"7681",2.38615498092773,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05870717978284,27.9587610464867,0.00208762752815458,0.0628822294063521,6,-11724.3435671708,23460.6955402257,739.095967917398,2.32425569857353e-161
"3209",4.30226520675914,NA,NA,NA,-13.5064971317066,NA,NA,NA,-1.42938717965543,NA,NA,18.2194250443929,0.00216595194518716,NA,6,-11755.4237179359,23522.8558417558,801.256269447578,7.38492230270572e-175
"3202",3.13494056790933,0.0288867285886923,NA,NA,NA,NA,NA,NA,-1.67401329960821,NA,NA,17.0634252320211,0.00224316497613623,NA,6,-11768.0532481909,23548.1149022659,826.515329957598,2.41774576728001e-180
"3097",3.861170816295,NA,NA,NA,-9.12315506530683,1.01636706477894e-05,NA,NA,NA,NA,NA,17.3222672819218,0.0023999325534331,NA,6,-11888.9996729766,23790.0077518374,1068.40817952912,7.19524756629195e-233
"3113",3.8620527467522,NA,NA,NA,-9.13710736587607,NA,1.01326888444807e-05,NA,NA,NA,NA,17.3263446445414,0.00240020394366804,NA,6,-11890.5700314962,23793.1484688765,1071.54889656821,1.49640000720765e-233
"3093",3.36632350739102,NA,NA,-3.47856772363684e-08,NA,3.25596820957085e-05,NA,NA,NA,NA,NA,16.719211559013,0.00217149732221939,NA,6,-11964.0572714832,23940.1229488506,1218.52337654234,1.81946994025338e-265
"3109",3.36657533405266,NA,NA,-3.46915589248575e-08,NA,NA,3.24879117380334e-05,NA,NA,NA,NA,16.7336340534894,0.00217157868714279,NA,6,-11970.2816707871,23952.5717474584,1230.97217515013,3.60348413293441e-268
"3090",3.08635841411935,0.0164688866455553,NA,NA,NA,1.01065322706051e-05,NA,NA,NA,NA,NA,16.8129796868902,0.00246753590670376,NA,6,-12013.1885143536,24038.3854345912,1316.78586228299,8.36598761477818e-287
"3106",3.08592980329125,0.0165030509672475,NA,NA,NA,NA,1.00730431803922e-05,NA,NA,NA,NA,16.8155953613798,0.00246801357519175,NA,6,-12014.7226666533,24041.4537391908,1319.8541668825,1.80402827106311e-287
"3601",3.53956385877775,NA,NA,NA,NA,1.47340175122749e-05,NA,NA,NA,NA,-0.718070822285435,18.2857557384639,0.00191330473231916,NA,6,-12021.7674390468,24055.5432839777,1333.94371166945,1.57303201759362e-290
"7185",2.58220726411574,NA,NA,NA,NA,1.20810306558085e-05,NA,NA,NA,NA,NA,23.1335547900774,0.00243200053543739,0.0380001802670071,6,-12023.0324775366,24058.0733609574,1336.47378864911,4.43954361396295e-291
"7201",2.58129637130843,NA,NA,NA,NA,NA,1.2046003335588e-05,NA,NA,NA,NA,23.1466412053925,0.00243232973902096,0.0380496230097614,6,-12025.3580257958,24062.7244574757,1341.12488516745,4.33875922914274e-292
"3617",3.53922179595892,NA,NA,NA,NA,NA,1.4682998565988e-05,NA,NA,NA,-0.716977675660025,18.294492147599,0.00191413190307506,NA,6,-12026.0072279686,24064.0228618212,1342.42328951297,2.2668387564059e-292
"3083",3.93167304659232,NA,8.19758342575755e-09,NA,-10.7818920765343,NA,NA,NA,NA,NA,NA,18.0041189043897,0.00247990368551658,NA,6,-12037.5698391018,24087.1480840878,1365.54851177955,2.156961620512e-297
"3145",3.84422112561545,NA,NA,NA,-9.48424253675316,NA,NA,7.77743745123153e-05,NA,NA,NA,17.6337862507147,0.002466171269887,NA,6,-12045.1658864871,24102.3401788584,1380.74060655016,1.08372964608488e-300
"3337",4.09577237763441,NA,NA,NA,-12.1400694621446,NA,NA,NA,NA,-0.3220968283908,NA,18.2364824437729,0.00235471692665297,NA,6,-12052.0546570135,24116.1177199111,1394.51814760283,1.10450052651462e-303
"7297",2.35642075822365,NA,NA,NA,NA,NA,NA,NA,-1.35289949987068,NA,NA,27.2885836193833,0.00226371364337119,0.0577569264258036,6,-12053.946994568,24119.90239502,1398.30282271177,1.66469306168861e-304
"3085",3.92374769800953,NA,NA,5.41190260030651e-09,-10.7826003355293,NA,NA,NA,NA,NA,NA,18.082313817909,0.00249800287214028,NA,6,-12100.4123822587,24212.8331704016,1491.23359809335,0
"3082",3.67810863457567,0.00675846134948052,NA,NA,-8.27398002019054,NA,NA,NA,NA,NA,NA,17.7996201911849,0.00254481567698515,NA,6,-12109.6113666905,24231.2311392652,1509.63156695694,0
"7177",3.69792197926343,NA,NA,NA,-9.74203641522893,NA,NA,NA,NA,NA,NA,19.3558630545543,0.00252546896204884,0.00826391424878767,6,-12122.8368053307,24257.6820165454,1536.08244423717,0
"3330",3.05248822574864,0.0249262034764413,NA,NA,NA,NA,NA,NA,NA,-0.411780146400337,NA,17.3094571181705,0.0024253329901888,NA,6,-12122.899643283,24257.8076924501,1536.20812014187,0
"3081",3.93024696998584,NA,NA,NA,-10.957191427391,NA,NA,NA,NA,NA,NA,18.1473424435346,0.00250797450081545,NA,5,-12129.9069608947,24269.8199253916,1548.22035308331,0
"3076",3.00271306885194,0.0205572767377971,8.4194560062367e-09,NA,NA,NA,NA,NA,NA,NA,NA,17.2786065681669,0.00256824600109413,NA,6,-12143.5047700921,24299.0179460683,1577.41837376005,0
"3649",3.49972823734153,NA,NA,NA,NA,NA,NA,0.000161759420812255,NA,NA,-0.762598057737631,18.3783646864871,0.00196389230358052,NA,6,-12144.142406038,24300.2932179602,1578.6936456519,0
"3169",3.31162523722183,NA,NA,NA,NA,NA,1.20272522527612e-05,0.00010964199030963,NA,NA,NA,17.3122356901678,0.00226213488363457,NA,6,-12168.6100978709,24349.2286016259,1627.6290293176,0
"3138",3.03514181055992,0.0174040647609898,NA,NA,NA,NA,NA,7.39123355305272e-05,NA,NA,NA,17.1040097529562,0.00253987878498903,NA,6,-12169.0083784078,24350.0251626997,1628.42559039142,0
"3153",3.3111432217611,NA,NA,NA,NA,1.19875155946622e-05,NA,0.000107774106360953,NA,NA,NA,17.330131887147,0.00226334373169447,NA,6,-12172.6987355971,24357.4058770784,1635.80630477011,0
"7170",2.69452271336057,0.0155760822714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3642689108454,0.00261534021298877,0.0188856553174056,6,-12195.772135872,24403.5526776281,1681.95310531987,0
"7233",2.5430927163627,NA,NA,NA,NA,NA,NA,0.000107623796428418,NA,NA,NA,23.3775741701462,0.00250014864412519,0.0376526223880338,6,-12199.7386082175,24411.485622319,1689.88605001077,0
"3078",2.99555339565684,0.0204553103167839,NA,5.21944808650401e-09,NA,NA,NA,NA,NA,NA,NA,17.3749356569323,0.00258644602940856,NA,6,-12212.1260505694,24436.2605070229,1714.66093471466,0
"3217",3.43295405245473,NA,NA,NA,NA,1.44771930498673e-05,NA,NA,-0.788995949526412,NA,NA,18.2647530169689,0.00207969206968948,NA,6,-12225.6207514195,24463.2499087232,1741.65033641492,0
"3233",3.43277124979869,NA,NA,NA,NA,NA,1.44328916551193e-05,NA,-0.787614586323663,NA,NA,18.2727456784192,0.00208025790276233,NA,6,-12229.1637176893,24470.3358412628,1748.73626895456,0
"3074",2.98608319629169,0.0208727929005585,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4165109252531,0.00259831566803518,NA,5,-12238.8906474052,24487.7872984125,1766.18772610426,0
"1561",5.31431926288649,NA,NA,NA,-13.234494815686,1.18218081422152e-05,NA,NA,NA,NA,-1.56996204445288,16.8243693285301,NA,NA,6,-12253.9474178151,24519.9032415142,1798.30366920598,0
"1577",5.31548608490267,NA,NA,NA,-13.2511653904575,NA,1.17776366940819e-05,NA,NA,NA,-1.56973469859502,16.8296967581639,NA,NA,6,-12256.3978810598,24524.8041680037,1803.20459569547,0
"7171",2.42489851525636,NA,8.59613679935964e-09,NA,NA,NA,NA,NA,NA,NA,NA,25.0061646327724,0.00253448893048729,0.044169137557552,6,-12270.959767881,24553.9279416461,1832.32836933785,0
"3107",3.32067773986644,NA,6.91061320595122e-09,NA,NA,NA,1.34095235335051e-05,NA,NA,NA,NA,18.0193702552253,0.00226795152926329,NA,6,-12284.4932658915,24580.994937667,1859.39536535878,0
"3091",3.3202470049712,NA,6.73505440930599e-09,NA,NA,1.3417563583992e-05,NA,NA,NA,NA,NA,18.0185915806116,0.00226862082895623,NA,6,-12284.6624829716,24581.3333718273,1859.73379951907,0
"7425",2.3707895842704,NA,NA,NA,NA,NA,NA,NA,NA,-0.289685098213883,NA,26.2290155205348,0.00243740565371893,0.0507039212610275,6,-12309.1419172357,24630.2922403556,1908.69266804734,0
"7173",2.41503357571725,NA,NA,6.56191199664726e-09,NA,NA,NA,NA,NA,NA,NA,25.0887753711014,0.00255247594838832,0.0442857558000135,6,-12326.3284296008,24664.6652650856,1943.06569277737,0
"3121",3.31147305227244,NA,NA,NA,NA,0.000105440946047099,-9.1406616278722e-05,NA,NA,NA,NA,18.066614886973,0.00228602477836047,NA,6,-12333.9594214837,24679.9272488516,1958.32767654332,0
"3345",3.32569648475802,NA,NA,NA,NA,1.41411324485483e-05,NA,NA,NA,-0.0432078508111084,NA,18.111596473204,0.00226192214452231,NA,6,-12341.7264732887,24695.4613524615,1973.86178015323,0
"3089",3.31314308435254,NA,NA,NA,NA,1.40998839616502e-05,NA,NA,NA,NA,NA,18.0835576635041,0.00228424688607883,NA,5,-12343.1971491001,24696.4003018024,1974.80072949417,0
"3361",3.32558422414136,NA,NA,NA,NA,NA,1.41010666894136e-05,NA,NA,-0.042684443066498,NA,18.119055127913,0.00226236772153411,NA,6,-12344.8252651985,24701.6589362812,1980.05936397294,0
"3105",3.31318392157003,NA,NA,NA,NA,NA,1.40606919491245e-05,NA,NA,NA,NA,18.0913064278288,0.00228441916681878,NA,5,-12346.2597175622,24702.5254387265,1980.92586641826,0
"3265",3.39074766677114,NA,NA,NA,NA,NA,NA,0.000154861771858895,-0.861352273525327,NA,NA,18.3964743428444,0.00213471732160595,NA,6,-12358.3018084954,24728.6120228749,2007.0124505666,0
"7169",2.39893214989737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2676348402381,0.00256465683045271,0.044857535377197,5,-12367.9050612692,24745.8161261405,2024.21655383226,0
"1554",4.22066530229639,0.0261529236278034,NA,NA,NA,1.13650847661104e-05,NA,NA,NA,NA,-1.65821707592734,15.9076362377223,NA,NA,6,-12396.7177799041,24805.4439656924,2083.84439338415,0
"1570",4.22039219966664,0.0261941834654139,NA,NA,NA,NA,1.13189365156138e-05,NA,NA,NA,-1.65827847644193,15.9110494740668,NA,NA,6,-12398.971169148,24809.9507441802,2088.35117187194,0
"1609",5.32699337328135,NA,NA,NA,-13.5931737470283,NA,NA,9.99804049731432e-05,NA,NA,-1.61339062939739,17.112790735282,NA,NA,6,-12428.1916847505,24868.3917753851,2146.79220307683,0
"3587",3.47280412583368,NA,9.18529031509217e-09,NA,NA,NA,NA,NA,NA,NA,-0.666938390931375,19.6185997472974,0.00204287015407862,NA,6,-12432.8462921907,24877.7009902655,2156.10141795723,0
"1547",5.44798006061228,NA,9.14170837602021e-09,NA,-15.2781285206271,NA,NA,NA,NA,NA,-1.61293468788286,17.6094360800918,NA,NA,6,-12452.3862246662,24916.7808552166,2195.18128290831,0
"3141",3.26557138720139,NA,NA,6.02369602786943e-09,NA,NA,NA,0.000140157510868386,NA,NA,NA,18.1912003191804,0.00235037086094272,NA,6,-12459.1635710835,24930.3355480511,2208.73597574281,0
"3139",3.26771844276589,NA,5.08029374615829e-09,NA,NA,NA,NA,0.000130344221070159,NA,NA,NA,18.2745045419298,0.00234696456027395,NA,6,-12463.0944468436,24938.1972995714,2216.5977272631,0
"1546",4.99792620474228,0.0142181977380539,NA,NA,-10.1955765515067,NA,NA,NA,NA,NA,-1.73080051797234,17.0222504007166,NA,NA,6,-12479.6951632961,24971.3987324764,2249.79916016815,0
"3589",3.46682408713187,NA,NA,7.71411563006179e-09,NA,NA,NA,NA,NA,NA,-0.672180301890954,19.6816101448514,0.00205790391063969,NA,6,-12484.3399550953,24980.6883160748,2259.08874376652,0
"3393",3.2859524444151,NA,NA,NA,NA,NA,NA,0.0001465532247409,NA,-0.0864573385126382,NA,18.2954709872161,0.00231346523026755,NA,6,-12487.5083533112,24987.0251125066,2265.42554019831,0
"3841",3.41934797977384,NA,NA,NA,NA,NA,NA,NA,NA,0.279029299341011,-0.79605285366721,19.6437014076183,0.00214869226031881,NA,6,-12490.3127428012,24992.6338914865,2271.03431917829,0
"3137",3.26102415837507,NA,NA,NA,NA,NA,NA,0.000144011301082517,NA,NA,NA,18.2537221835123,0.00235833328944347,NA,5,-12493.1445447206,24996.2950930434,2274.69552073515,0
"1557",4.4176837226812,NA,NA,-4.29897030030081e-08,NA,3.9872859316125e-05,NA,NA,NA,NA,-1.19541573417128,16.1784951304573,NA,NA,6,-12508.3212216097,25028.6508491035,2307.05127679529,0
"5649",3.49738788222956,NA,NA,NA,NA,1.47119909190173e-05,NA,NA,NA,NA,-1.52070763188947,25.044090451191,NA,0.0538291147090796,6,-12513.522717226,25039.0538403362,2317.45426802796,0
"5665",3.49656062985736,NA,NA,NA,NA,NA,1.46622105467601e-05,NA,NA,NA,-1.52013702726448,25.0591922055303,NA,0.0538799648728068,6,-12517.1871867844,25046.3827794529,2324.78320714461,0
"1573",4.41781449892115,NA,NA,-4.28550350184634e-08,NA,NA,3.97698496318621e-05,NA,NA,NA,-1.19305247566045,16.1962012354511,NA,NA,6,-12517.5115695611,25047.0315450063,2325.43197269802,0
"1801",5.50511826701561,NA,NA,NA,-16.0519897218601,NA,NA,NA,NA,-0.240174677452136,-1.51636998914542,17.847175086842,NA,NA,6,-12521.7262028899,25055.460811664,2333.86123935571,0
"1549",5.45003597977334,NA,NA,6.1197495328213e-09,-15.2988530702352,NA,NA,NA,NA,NA,-1.62210866535958,17.6924608450807,NA,NA,6,-12523.4613470822,25058.9311000486,2337.33152774034,0
"1673",5.4846270602598,NA,NA,NA,-15.7939195670354,NA,NA,NA,-0.540263369268323,NA,-1.41943443119905,17.8079501077491,NA,NA,6,-12531.0275957383,25074.0635973608,2352.4640250525,0
"3713",3.45163673636709,NA,NA,NA,NA,NA,NA,NA,0.253147511891966,NA,-0.764905128082816,19.7701595801104,0.00208730972677674,NA,6,-12534.0319205641,25080.0722470123,2358.47267470406,0
"3585",3.45912890026166,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.667237790201987,19.8044266445719,0.00207244682218188,NA,5,-12540.0157226893,25090.0374489807,2368.43787667249,0
"6658",4.40876676279866,0.0495425225268988,NA,NA,NA,NA,NA,NA,NA,NA,-1.23777159096391,NA,0.0020168705523955,-0.0491839411084039,6,-12541.8815016526,25095.7714091893,2374.17183688109,0
"5641",5.1279054060261,NA,NA,NA,-13.7344509458195,NA,NA,NA,NA,NA,-1.65429003910263,19.6079846483457,NA,0.0126339700102281,6,-12543.1535004296,25098.3154067433,2376.71583443509,0
"1540",4.17841535522876,0.0312133956385419,9.44293102148651e-09,NA,NA,NA,NA,NA,NA,NA,-1.73371013129189,16.3938486644869,NA,NA,6,-12551.5443769305,25115.0971597451,2393.49758743687,0
"1545",5.46354182373602,NA,NA,NA,-15.5086652486576,NA,NA,NA,NA,NA,-1.62716939761131,17.7642130200228,NA,NA,5,-12558.123175764,25126.2523551302,2404.65278282192,0
"1602",4.20171807133258,0.0272651874635387,NA,NA,NA,NA,NA,8.79167244417869e-05,NA,NA,-1.70666210390257,16.1903177495106,NA,NA,6,-12570.6340384856,25153.2764828552,2431.67691054699,0
"6665",6.79417454668258,NA,NA,NA,-25.0175035810249,NA,NA,NA,NA,NA,-1.0146480998961,NA,0.00185736322305632,-0.0639598792063468,6,-12574.9722989058,25161.9530036958,2440.35343138755,0
"1794",4.16366929294205,0.0341537075081285,NA,NA,NA,NA,NA,NA,NA,-0.359206727919268,-1.60554689908434,16.5187979318115,NA,NA,6,-12585.5920142961,25183.1924344763,2461.59286216802,0
