"","(Intercept)","age","brlen.median","brlen.ratio","brlen.var","frac","lambda","max.brlen","max.internal","max.tip","min.brlen","min.internal","min.tip","mu","Ntip","df","logLik","AICc","delta","weight"
"14369",6.51297114425896,NA,NA,NA,NA,NA,-23.4930608079459,NA,NA,NA,NA,NA,-0.238340718856936,31.1531443702125,0.0283282655612741,6,-36199.5221770411,72411.0485555527,0,1
"10321",5.09261040128577,NA,NA,NA,NA,1.49514146127565,NA,0.00122681996020167,NA,NA,NA,NA,-0.211761282327297,NA,0.025417596911598,6,-36258.1030463065,72528.2102940835,117.16173853082,3.61952626928303e-26
"10385",5.11174747391003,NA,NA,NA,NA,1.47016123916127,NA,NA,0.00126316545429933,NA,NA,NA,-0.208325098249515,NA,0.0255627903677208,6,-36275.8462173054,72563.6966360813,152.648080528626,7.12673280639938e-34
"14401",5.40751715437215,NA,NA,NA,NA,NA,NA,0.00124503730333524,NA,NA,NA,NA,-0.217177048006314,16.2408923074432,0.026287402303686,6,-36283.7825715514,72579.5693445734,168.520789020695,2.54786035488344e-37
"14465",5.41923166598996,NA,NA,NA,NA,NA,NA,NA,0.00128559962432835,NA,NA,NA,-0.213566496340438,16.0359184209529,0.0264141286154484,6,-36295.8061764361,72603.6165543428,192.567998790066,1.52893973377225e-42
"14338",5.41795321569426,0.000499678981760299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.211060445263528,15.5721588391258,0.0269708228667583,6,-36329.4207986285,72670.8457987276,259.797243174908,3.85252475237142e-57
"10258",5.14218644361175,0.000483103064580896,NA,NA,NA,1.38880327734002,NA,NA,NA,NA,NA,NA,-0.206438725276487,NA,0.0261768765691462,6,-36341.0726136777,72694.1494288258,283.100873273128,3.35294521773455e-62
"10313",5.85006931076057,NA,NA,NA,-2.28654679728182e-05,NA,NA,0.00270458891484829,NA,NA,NA,NA,-0.244680119218285,NA,0.0238452921548738,6,-36432.2728248021,72876.5498510746,465.501295521914,8.27328562386731e-102
"10513",5.01047224919012,NA,NA,NA,NA,1.64475082705261,NA,NA,NA,0.00201180538574452,NA,NA,-0.219382658437035,NA,0.0249119828778458,6,-36441.068725974,72894.1416534185,483.093097865756,1.2521797485431e-105
"10377",5.86406845380246,NA,NA,NA,-2.18708037953787e-05,NA,NA,NA,0.00273807646431638,NA,NA,NA,-0.236284477623449,NA,0.0241844788527137,6,-36451.9370106464,72915.8782227634,504.829667210666,2.38578121463357e-110
"14593",5.37982694383854,NA,NA,NA,NA,NA,NA,NA,NA,0.00197762769870419,NA,NA,-0.225304876013491,17.1909917687099,0.0259461429386114,6,-36519.5636036779,73051.1314088262,640.082853273547,1.01806247787065e-139
"10259",4.76688782169468,NA,0.0205884943512116,NA,NA,1.9381008796188,NA,NA,NA,NA,NA,NA,-0.249436267297157,NA,0.0250553810820427,6,-36560.545702811,73133.0956070926,722.047051539892,1.61985044992059e-157
"14353",4.5388269380232,NA,NA,NA,NA,1.58900266335051,NA,NA,NA,NA,NA,NA,-0.170386360883997,16.9023455495677,0.0290691198438792,6,-36611.5159669156,73235.0361353018,823.987579749068,1.18405119127384e-179
"11393",5.83455375838307,NA,NA,NA,NA,NA,NA,NA,0.00124763777991997,NA,NA,0.0888659094856584,-0.252247281668507,NA,0.0269334356688836,6,-36690.5944708582,73393.1931431869,982.14458763419,5.37047352121809e-214
"11266",5.81777030804606,0.000492719258878724,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0891498450172876,-0.249554898969935,NA,0.0274610975213908,6,-36691.9618941261,73395.9279897228,984.879434170056,1.36819563319563e-214
"11329",5.83198073949456,NA,NA,NA,NA,NA,NA,0.00119721180146842,NA,NA,NA,0.0870240536687404,-0.255388129784787,NA,0.0268051946604561,6,-36698.0496793664,73408.1035602034,997.055004650669,3.10639488978435e-217
"14339",5.25615884478852,NA,0.0181703063701065,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.250917934552751,18.9796397255224,0.0265311279064539,6,-36736.0168265914,73484.0378546533,1072.98929910062,1.00770666192515e-233
"10306",5.91779755401419,0.000276660493139953,NA,NA,NA,NA,NA,0.000675330130984872,NA,NA,NA,NA,-0.234482692459961,NA,0.0256991838084193,6,-36750.6788979178,73513.3619973062,1102.3134417535,4.3219273207109e-240
"10370",5.92057215937508,0.000274562456135667,NA,NA,NA,NA,NA,NA,0.000705820261643827,NA,NA,NA,-0.232444935247596,NA,0.0257634140331072,6,-36750.8990116147,73513.8022246999,1102.75366914718,3.46803359143501e-240
"10625",5.92634247196292,NA,NA,NA,NA,NA,NA,NA,0.00104475526035007,0.000690640743028121,NA,NA,-0.239733474672429,NA,0.0250852772347605,6,-36770.5142696891,73553.0327408488,1141.98418529611,1.05023128828314e-248
"10498",5.91274231458869,0.000413495121473408,NA,NA,NA,NA,NA,NA,NA,0.000676015178342408,NA,NA,-0.237231095438542,NA,0.0255449445685725,6,-36775.539483406,73563.0831682825,1152.03461272984,6.9002109016011e-251
"10246",5.91729736749158,0.000513619288497187,NA,3.14664221592885e-07,NA,NA,NA,NA,NA,NA,NA,NA,-0.229794254028798,NA,0.0261579719010522,6,-36776.2787761107,73564.5617536919,1153.51319813922,3.29451601303643e-251
